gvkey,iid,datadate,tic,conm,curcdd,prccd,exchg
5643,4,20150526,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.17,11
5643,4,20150527,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.43,11
5643,4,20150528,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.41,11
5643,4,20150529,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.96,11
5643,4,20150601,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.17,11
5643,4,20150602,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.19,11
5643,4,20150603,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.29,11
5643,4,20150604,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.27,11
5643,4,20150605,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.39,11
5643,4,20150608,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.76,11
5643,4,20150609,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.18,11
5643,4,20150610,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.67,11
5643,4,20150611,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.8,11
5643,4,20150612,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.6,11
5643,4,20150615,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.42,11
5643,4,20150616,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.03,11
5643,4,20150617,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.93,11
5643,4,20150618,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.36,11
5643,4,20150619,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.09,11
5643,4,20150622,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.07,11
5643,4,20150623,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.1,11
5643,4,20150624,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.98,11
5643,4,20150625,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.99,11
5643,4,20150626,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.08,11
5643,4,20150629,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.33,11
5643,4,20150630,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.55,11
5643,4,20150701,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.78,11
5643,4,20150702,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.78,11
5643,4,20150706,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.8,11
5643,4,20150707,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.85,11
5643,4,20150708,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.21,11
5643,4,20150709,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.28,11
5643,4,20150710,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.89,11
5643,4,20150713,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.17,11
5643,4,20150714,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.38,11
5643,4,20150715,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.14,11
5643,4,20150716,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.25,11
5643,4,20150717,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.27,11
5643,4,20150720,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.32,11
5643,4,20150721,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.02,11
5643,4,20150722,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.99,11
5643,4,20150723,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.05,11
5643,4,20150724,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.83,11
5643,4,20150727,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.5,11
5643,4,20150728,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.49,11
5643,4,20150729,HLT,HILTON WORLDWIDE HOLDINGS,USD,27.71,11
5643,4,20150730,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.54,11
