gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
019661,01W,20150424,TOYOTA MOTOR CORP,JPY,8413.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150427,TOYOTA MOTOR CORP,JPY,8340.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150428,TOYOTA MOTOR CORP,JPY,8515.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150429,TOYOTA MOTOR CORP,JPY,8515.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150430,TOYOTA MOTOR CORP,JPY,8358.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150501,TOYOTA MOTOR CORP,JPY,8315.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150504,TOYOTA MOTOR CORP,JPY,8315.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150505,TOYOTA MOTOR CORP,JPY,8315.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150506,TOYOTA MOTOR CORP,JPY,8315.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150507,TOYOTA MOTOR CORP,JPY,8214.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150508,TOYOTA MOTOR CORP,JPY,8279.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150511,TOYOTA MOTOR CORP,JPY,8235.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150512,TOYOTA MOTOR CORP,JPY,8284.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150513,TOYOTA MOTOR CORP,JPY,8196.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150514,TOYOTA MOTOR CORP,JPY,8179.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150515,TOYOTA MOTOR CORP,JPY,8296.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150518,TOYOTA MOTOR CORP,JPY,8352.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150519,TOYOTA MOTOR CORP,JPY,8364.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150520,TOYOTA MOTOR CORP,JPY,8405.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150521,TOYOTA MOTOR CORP,JPY,8423.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150522,TOYOTA MOTOR CORP,JPY,8346.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150525,TOYOTA MOTOR CORP,JPY,8459.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150526,TOYOTA MOTOR CORP,JPY,8451.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150527,TOYOTA MOTOR CORP,JPY,8496.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150528,TOYOTA MOTOR CORP,JPY,8637.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150529,TOYOTA MOTOR CORP,JPY,8604.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150601,TOYOTA MOTOR CORP,JPY,8520.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150602,TOYOTA MOTOR CORP,JPY,8514.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150603,TOYOTA MOTOR CORP,JPY,8515.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150604,TOYOTA MOTOR CORP,JPY,8527.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150605,TOYOTA MOTOR CORP,JPY,8470.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150608,TOYOTA MOTOR CORP,JPY,8358.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150609,TOYOTA MOTOR CORP,JPY,8215.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150610,TOYOTA MOTOR CORP,JPY,8182.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150611,TOYOTA MOTOR CORP,JPY,8322.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150612,TOYOTA MOTOR CORP,JPY,8394.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150615,TOYOTA MOTOR CORP,JPY,8409.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150616,TOYOTA MOTOR CORP,JPY,8395.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150617,TOYOTA MOTOR CORP,JPY,8311.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150618,TOYOTA MOTOR CORP,JPY,8184.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150619,TOYOTA MOTOR CORP,JPY,8234.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150622,TOYOTA MOTOR CORP,JPY,8297.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150623,TOYOTA MOTOR CORP,JPY,8475.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150624,TOYOTA MOTOR CORP,JPY,8449.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150625,TOYOTA MOTOR CORP,JPY,8338.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150626,TOYOTA MOTOR CORP,JPY,8333.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150629,TOYOTA MOTOR CORP,JPY,8151.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150630,TOYOTA MOTOR CORP,JPY,8203.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150701,TOYOTA MOTOR CORP,JPY,8140.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150702,TOYOTA MOTOR CORP,JPY,8153.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150703,TOYOTA MOTOR CORP,JPY,8182.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150706,TOYOTA MOTOR CORP,JPY,8067.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150707,TOYOTA MOTOR CORP,JPY,8116.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150708,TOYOTA MOTOR CORP,JPY,7931.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150709,TOYOTA MOTOR CORP,JPY,7898.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150710,TOYOTA MOTOR CORP,JPY,7925.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150713,TOYOTA MOTOR CORP,JPY,8113.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150714,TOYOTA MOTOR CORP,JPY,8201.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150715,TOYOTA MOTOR CORP,JPY,8273.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150716,TOYOTA MOTOR CORP,JPY,8432.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150717,TOYOTA MOTOR CORP,JPY,8345.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150720,TOYOTA MOTOR CORP,JPY,8345.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150721,TOYOTA MOTOR CORP,JPY,8376.0000,264,JP3633400001,6900643,0001094517
