gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
19661,01W,20150612,TOYOTA MOTOR CORP,JPY,8394,264,JP3633400001,6900643,1094517
19661,01W,20150615,TOYOTA MOTOR CORP,JPY,8409,264,JP3633400001,6900643,1094517
19661,01W,20150616,TOYOTA MOTOR CORP,JPY,8395,264,JP3633400001,6900643,1094517
19661,01W,20150617,TOYOTA MOTOR CORP,JPY,8311,264,JP3633400001,6900643,1094517
19661,01W,20150618,TOYOTA MOTOR CORP,JPY,8184,264,JP3633400001,6900643,1094517
19661,01W,20150619,TOYOTA MOTOR CORP,JPY,8234,264,JP3633400001,6900643,1094517
19661,01W,20150622,TOYOTA MOTOR CORP,JPY,8297,264,JP3633400001,6900643,1094517
19661,01W,20150623,TOYOTA MOTOR CORP,JPY,8475,264,JP3633400001,6900643,1094517
19661,01W,20150624,TOYOTA MOTOR CORP,JPY,8449,264,JP3633400001,6900643,1094517
19661,01W,20150625,TOYOTA MOTOR CORP,JPY,8338,264,JP3633400001,6900643,1094517
19661,01W,20150626,TOYOTA MOTOR CORP,JPY,8333,264,JP3633400001,6900643,1094517
19661,01W,20150629,TOYOTA MOTOR CORP,JPY,8151,264,JP3633400001,6900643,1094517
19661,01W,20150630,TOYOTA MOTOR CORP,JPY,8203,264,JP3633400001,6900643,1094517
19661,01W,20150701,TOYOTA MOTOR CORP,JPY,8140,264,JP3633400001,6900643,1094517
19661,01W,20150702,TOYOTA MOTOR CORP,JPY,8153,264,JP3633400001,6900643,1094517
19661,01W,20150703,TOYOTA MOTOR CORP,JPY,8182,264,JP3633400001,6900643,1094517
19661,01W,20150706,TOYOTA MOTOR CORP,JPY,8067,264,JP3633400001,6900643,1094517
19661,01W,20150707,TOYOTA MOTOR CORP,JPY,8116,264,JP3633400001,6900643,1094517
19661,01W,20150708,TOYOTA MOTOR CORP,JPY,7931,264,JP3633400001,6900643,1094517
19661,01W,20150709,TOYOTA MOTOR CORP,JPY,7898,264,JP3633400001,6900643,1094517
19661,01W,20150710,TOYOTA MOTOR CORP,JPY,7925,264,JP3633400001,6900643,1094517
19661,01W,20150713,TOYOTA MOTOR CORP,JPY,8113,264,JP3633400001,6900643,1094517
19661,01W,20150714,TOYOTA MOTOR CORP,JPY,8201,264,JP3633400001,6900643,1094517
19661,01W,20150715,TOYOTA MOTOR CORP,JPY,8273,264,JP3633400001,6900643,1094517
19661,01W,20150716,TOYOTA MOTOR CORP,JPY,8432,264,JP3633400001,6900643,1094517
19661,01W,20150717,TOYOTA MOTOR CORP,JPY,8345,264,JP3633400001,6900643,1094517
19661,01W,20150720,TOYOTA MOTOR CORP,JPY,8345,264,JP3633400001,6900643,1094517
19661,01W,20150721,TOYOTA MOTOR CORP,JPY,8376,264,JP3633400001,6900643,1094517
19661,01W,20150722,TOYOTA MOTOR CORP,JPY,8278,264,JP3633400001,6900643,1094517
19661,01W,20150723,TOYOTA MOTOR CORP,JPY,8277,264,JP3633400001,6900643,1094517
19661,01W,20150724,TOYOTA MOTOR CORP,JPY,8277,264,JP3633400001,6900643,1094517
19661,01W,20150727,TOYOTA MOTOR CORP,JPY,8183,264,JP3633400001,6900643,1094517
19661,01W,20150728,TOYOTA MOTOR CORP,JPY,8077,264,JP3633400001,6900643,1094517
19661,01W,20150729,TOYOTA MOTOR CORP,JPY,8112,264,JP3633400001,6900643,1094517
19661,01W,20150730,TOYOTA MOTOR CORP,JPY,8163,264,JP3633400001,6900643,1094517
19661,01W,20150731,TOYOTA MOTOR CORP,JPY,8253,264,JP3633400001,6900643,1094517
19661,01W,20150803,TOYOTA MOTOR CORP,JPY,8200,264,JP3633400001,6900643,1094517
19661,01W,20150804,TOYOTA MOTOR CORP,JPY,8121,264,JP3633400001,6900643,1094517
19661,01W,20150805,TOYOTA MOTOR CORP,JPY,7930,264,JP3633400001,6900643,1094517
19661,01W,20150806,TOYOTA MOTOR CORP,JPY,8033,264,JP3633400001,6900643,1094517
19661,01W,20150807,TOYOTA MOTOR CORP,JPY,8118,264,JP3633400001,6900643,1094517
19661,01W,20150810,TOYOTA MOTOR CORP,JPY,8144,264,JP3633400001,6900643,1094517
19661,01W,20150811,TOYOTA MOTOR CORP,JPY,8122,264,JP3633400001,6900643,1094517
19661,01W,20150812,TOYOTA MOTOR CORP,JPY,7987,264,JP3633400001,6900643,1094517
19661,01W,20150813,TOYOTA MOTOR CORP,JPY,7941,264,JP3633400001,6900643,1094517
19661,01W,20150814,TOYOTA MOTOR CORP,JPY,7945,264,JP3633400001,6900643,1094517
19661,01W,20150817,TOYOTA MOTOR CORP,JPY,7932,264,JP3633400001,6900643,1094517
19661,01W,20150818,TOYOTA MOTOR CORP,JPY,7967,264,JP3633400001,6900643,1094517
19661,01W,20150819,TOYOTA MOTOR CORP,JPY,7897,264,JP3633400001,6900643,1094517
19661,01W,20150820,TOYOTA MOTOR CORP,JPY,7732,264,JP3633400001,6900643,1094517
19661,01W,20150821,TOYOTA MOTOR CORP,JPY,7500,264,JP3633400001,6900643,1094517
19661,01W,20150824,TOYOTA MOTOR CORP,JPY,6994,264,JP3633400001,6900643,1094517
19661,01W,20150825,TOYOTA MOTOR CORP,JPY,6725,264,JP3633400001,6900643,1094517
19661,01W,20150826,TOYOTA MOTOR CORP,JPY,6920,264,JP3633400001,6900643,1094517
19661,01W,20150827,TOYOTA MOTOR CORP,JPY,7026,264,JP3633400001,6900643,1094517
19661,01W,20150828,TOYOTA MOTOR CORP,JPY,7346,264,JP3633400001,6900643,1094517
19661,01W,20150831,TOYOTA MOTOR CORP,JPY,7192,264,JP3633400001,6900643,1094517
19661,01W,20150901,TOYOTA MOTOR CORP,JPY,7000,264,JP3633400001,6900643,1094517
19661,01W,20150902,TOYOTA MOTOR CORP,JPY,7015,264,JP3633400001,6900643,1094517
19661,01W,20150903,TOYOTA MOTOR CORP,JPY,7185,264,JP3633400001,6900643,1094517
19661,01W,20150904,TOYOTA MOTOR CORP,JPY,7004,264,JP3633400001,6900643,1094517
19661,01W,20150907,TOYOTA MOTOR CORP,JPY,7089,264,JP3633400001,6900643,1094517
19661,01W,20150908,TOYOTA MOTOR CORP,JPY,7050,264,JP3633400001,6900643,1094517
19661,01W,20150909,TOYOTA MOTOR CORP,JPY,7491,264,JP3633400001,6900643,1094517
19661,01W,20150910,TOYOTA MOTOR CORP,JPY,7175,264,JP3633400001,6900643,1094517
19661,01W,20150911,TOYOTA MOTOR CORP,JPY,7072,264,JP3633400001,6900643,1094517
19661,01W,20150914,TOYOTA MOTOR CORP,JPY,7007,264,JP3633400001,6900643,1094517
19661,01W,20150915,TOYOTA MOTOR CORP,JPY,7161,264,JP3633400001,6900643,1094517
