gvkey,iid,datadate,conm,curcdd,prccd,exchg
015362,01W,20140822,WESTPAC BANKING,AUD,34.8900,106
015362,01W,20140825,WESTPAC BANKING,AUD,34.8000,106
015362,01W,20140826,WESTPAC BANKING,AUD,34.9100,106
015362,01W,20140827,WESTPAC BANKING,AUD,35.1200,106
015362,01W,20140828,WESTPAC BANKING,AUD,35.0100,106
015362,01W,20140829,WESTPAC BANKING,AUD,35.0400,106
015362,01W,20140901,WESTPAC BANKING,AUD,35.1400,106
015362,01W,20140902,WESTPAC BANKING,AUD,35.1700,106
015362,01W,20140903,WESTPAC BANKING,AUD,35.2200,106
015362,01W,20140904,WESTPAC BANKING,AUD,34.9300,106
015362,01W,20140905,WESTPAC BANKING,AUD,34.7600,106
015362,01W,20140908,WESTPAC BANKING,AUD,34.5800,106
015362,01W,20140909,WESTPAC BANKING,AUD,34.6100,106
015362,01W,20140910,WESTPAC BANKING,AUD,34.7600,106
015362,01W,20140911,WESTPAC BANKING,AUD,34.6200,106
015362,01W,20140912,WESTPAC BANKING,AUD,34.2500,106
015362,01W,20140915,WESTPAC BANKING,AUD,33.7700,106
015362,01W,20140916,WESTPAC BANKING,AUD,33.5000,106
015362,01W,20140917,WESTPAC BANKING,AUD,32.9000,106
015362,01W,20140918,WESTPAC BANKING,AUD,33.0500,106
015362,01W,20140919,WESTPAC BANKING,AUD,33.1700,106
015362,01W,20140922,WESTPAC BANKING,AUD,32.4000,106
015362,01W,20140923,WESTPAC BANKING,AUD,32.7700,106
015362,01W,20140924,WESTPAC BANKING,AUD,32.4700,106
015362,01W,20140925,WESTPAC BANKING,AUD,32.2100,106
015362,01W,20140926,WESTPAC BANKING,AUD,31.8900,106
015362,01W,20140929,WESTPAC BANKING,AUD,31.6500,106
015362,01W,20140930,WESTPAC BANKING,AUD,32.1400,106
015362,01W,20141001,WESTPAC BANKING,AUD,32.4600,106
015362,01W,20141002,WESTPAC BANKING,AUD,32.2900,106
015362,01W,20141003,WESTPAC BANKING,AUD,32.5900,106
015362,01W,20141006,WESTPAC BANKING,AUD,32.4200,106
015362,01W,20141007,WESTPAC BANKING,AUD,32.4200,106
015362,01W,20141008,WESTPAC BANKING,AUD,32.2800,106
015362,01W,20141009,WESTPAC BANKING,AUD,32.8700,106
015362,01W,20141010,WESTPAC BANKING,AUD,32.2500,106
015362,01W,20141013,WESTPAC BANKING,AUD,31.9000,106
015362,01W,20141014,WESTPAC BANKING,AUD,32.1400,106
015362,01W,20141015,WESTPAC BANKING,AUD,32.4600,106
015362,01W,20141016,WESTPAC BANKING,AUD,32.7300,106
015362,01W,20141017,WESTPAC BANKING,AUD,33.1000,106
015362,01W,20141020,WESTPAC BANKING,AUD,33.5700,106
015362,01W,20141021,WESTPAC BANKING,AUD,33.4100,106
015362,01W,20141022,WESTPAC BANKING,AUD,33.7400,106
015362,01W,20141023,WESTPAC BANKING,AUD,34.0200,106
015362,01W,20141024,WESTPAC BANKING,AUD,34.2100,106
015362,01W,20141027,WESTPAC BANKING,AUD,34.5600,106
015362,01W,20141028,WESTPAC BANKING,AUD,34.8900,106
015362,01W,20141029,WESTPAC BANKING,AUD,34.1700,106
015362,01W,20141030,WESTPAC BANKING,AUD,34.4600,106
015362,01W,20141031,WESTPAC BANKING,AUD,34.7800,106
015362,01W,20141103,WESTPAC BANKING,AUD,34.5500,106
015362,01W,20141104,WESTPAC BANKING,AUD,34.5000,106
015362,01W,20141105,WESTPAC BANKING,AUD,34.5900,106
015362,01W,20141106,WESTPAC BANKING,AUD,34.4100,106
015362,01W,20141107,WESTPAC BANKING,AUD,34.8400,106
015362,01W,20141110,WESTPAC BANKING,AUD,33.4700,106
015362,01W,20141111,WESTPAC BANKING,AUD,33.6300,106
015362,01W,20141112,WESTPAC BANKING,AUD,33.3300,106
015362,01W,20141113,WESTPAC BANKING,AUD,32.9600,106
