gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
015362,01W,20150805,WESTPAC BANKING,AUD,34.4900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150806,WESTPAC BANKING,AUD,33.4400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150807,WESTPAC BANKING,AUD,32.3500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150810,WESTPAC BANKING,AUD,32.6800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150811,WESTPAC BANKING,AUD,32.0500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150812,WESTPAC BANKING,AUD,31.5900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150813,WESTPAC BANKING,AUD,31.8000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150814,WESTPAC BANKING,AUD,31.3300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150817,WESTPAC BANKING,AUD,31.9400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150818,WESTPAC BANKING,AUD,31.6600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150819,WESTPAC BANKING,AUD,32.7100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150820,WESTPAC BANKING,AUD,32.2000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150821,WESTPAC BANKING,AUD,31.3700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150824,WESTPAC BANKING,AUD,29.4500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150825,WESTPAC BANKING,AUD,30.9000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150826,WESTPAC BANKING,AUD,31.2800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150827,WESTPAC BANKING,AUD,31.6400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150828,WESTPAC BANKING,AUD,31.5800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150831,WESTPAC BANKING,AUD,31.1000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150901,WESTPAC BANKING,AUD,30.2000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150902,WESTPAC BANKING,AUD,30.4200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150903,WESTPAC BANKING,AUD,30.1900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150904,WESTPAC BANKING,AUD,29.9400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150907,WESTPAC BANKING,AUD,29.8000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150908,WESTPAC BANKING,AUD,30.5200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150909,WESTPAC BANKING,AUD,31.8100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150910,WESTPAC BANKING,AUD,30.7600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150911,WESTPAC BANKING,AUD,30.5000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150914,WESTPAC BANKING,AUD,30.9900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150915,WESTPAC BANKING,AUD,30.2000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150916,WESTPAC BANKING,AUD,31.0700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150917,WESTPAC BANKING,AUD,31.3500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150918,WESTPAC BANKING,AUD,31.7500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150921,WESTPAC BANKING,AUD,30.8500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150922,WESTPAC BANKING,AUD,31.1100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150923,WESTPAC BANKING,AUD,29.9700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150924,WESTPAC BANKING,AUD,30.3600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150925,WESTPAC BANKING,AUD,29.9500,106,AU000000WBC1,6076146,0000719245
